n_train,width,lr,regularization_effect,acc_effect
8192,32,0.003,0.0004809082031249634,-0.0008000000000000229
8192,45,0.003,0.0004164550781249887,0.00013333333333331865
8192,64,0.003,0.0003216461181640984,-0.00013333333333331865
8192,91,0.003,0.00018078816731770253,0.0002666666666667483
8192,128,0.003,2.894287109372895e-05,-0.00013333333333331865
8192,181,0.003,-0.00012485656738281392,0.00013333333333331865
8192,256,0.003,-0.0002942718505858921,-0.0002666666666666373
11585,32,0.003,0.0006096872965494771,-0.000400000000000178
11585,45,0.003,0.00037590535481774046,6.666666666677035e-05
11585,64,0.003,3.1261189778641896e-05,6.66666666665483e-05
11585,91,0.003,3.723856608073284e-05,0.00019999999999997797
11585,128,0.003,0.00010014851888023868,6.666666666677035e-05
11585,181,0.003,-0.00010652364095051214,-0.0002666666666665263
11585,256,0.003,-0.0003660461425781525,6.666666666665932e-05
16384,32,0.003,0.0004339172363281296,-0.0002666666666666373
16384,45,0.003,5.927429199220624e-05,-0.0002666666666667483
16384,64,0.003,0.0003008229573567833,0.00013333333333331865
16384,91,0.003,6.218973795574234e-05,6.666666666665932e-05
16384,128,0.003,-0.0004173980712890435,-0.0003333333333331856
16384,181,0.003,-0.00032991333007811874,0.00039999999999995595
16384,256,0.003,-0.0002021250406901154,0.00013333333333331865
23170,32,0.003,0.000269812011718773,0.0002666666666666373
23170,45,0.003,0.00021251831054688863,0.0007999999999999119
23170,64,0.003,8.021036783856239e-05,6.666666666665932e-05
23170,91,0.003,-0.00018418477376302977,-0.00020000000000020002
23170,128,0.003,1.8331400553378563e-05,-6.666666666665932e-05
23170,181,0.003,-0.00047126261393229396,0.00033333333333351867
23170,256,0.003,-0.000983923339843762,0.00046666666666661527
32768,32,0.003,0.00037824605305988857,-0.0008000000000001339
32768,45,0.003,0.00022927347819012844,0.000600000000000156
32768,64,0.003,-7.674662272133537e-05,0.00013333333333331865
32768,91,0.003,-0.00013412679036456376,-0.00019999999999997797
32768,128,0.003,-0.0007022176106770694,6.666666666665932e-05
32768,181,0.003,-0.0017418991088866964,0.0003333333333332966
32768,256,0.003,-0.0016924463907877774,0.00019999999999997797
46341,32,0.003,-0.0004970377604166798,-0.0002666666666666373
46341,45,0.003,0.000585976664225274,-0.00046666666666661527
46341,64,0.003,9.702707926431686e-05,0.0
46341,91,0.003,0.0008312377929687587,-0.0002666666666666373
46341,128,0.003,-0.002498159790039048,0.0005999999999999339
46341,181,0.003,-0.0008331578572590981,-0.00013333333333331865
46341,256,0.003,-0.0027539179484049464,0.00013333333333331865
50000,32,0.003,7.51963297526137e-05,-6.666666666665932e-05
50000,45,0.003,-0.00015843353271483007,-0.00039999999999995595
50000,64,0.003,-0.00022490844726563708,-0.00019999999999986695
50000,91,0.003,-0.0008738271077474158,-6.666666666665932e-05
50000,128,0.003,-0.0007266204833984158,0.0005999999999999339
50000,181,0.003,-0.0016901865641275882,-0.0003333333333332966
50000,256,0.003,-0.0012354075113932272,-0.0007999999999999119
