n_train,width,lr,weight_decay,x_low,x_high,time_pressure,loss_low,loss_high
8192,32,0.003,0.0,32.0,96.0,0.3366962047200727,0.7050879435221354,0.33518935546875
8192,32,0.003,1e-06,32.0,96.0,0.3366962047200727,0.7050879435221354,0.33518935546875
8192,32,0.003,3e-06,32.0,96.0,0.3366962047200727,0.7050879435221354,0.33518935546875
8192,32,0.003,1e-05,32.0,96.0,0.33669694177087867,0.7050892496744791,0.3351898518880208
8192,32,0.003,3e-05,32.0,96.0,0.336697232517051,0.705089725748698,0.3351900085449219
8192,32,0.003,0.0001,32.0,96.0,0.3366980029018131,0.7050925699869791,0.3351920064290364
8192,32,0.003,0.0003,32.0,96.0,0.33670264372925024,0.7051016479492187,0.33519598592122396
8192,32,0.003,0.001,32.0,96.0,0.33671766623211163,0.7051324869791666,0.3352103210449218
8192,32,0.003,0.003,32.0,96.0,0.33677012832328007,0.7052175048828125,0.3352377034505209
8192,32,0.003,0.01,32.0,96.0,0.33700547531244807,0.705524462890625,0.3352861063639323
8192,32,0.003,0.03,32.0,96.0,0.33746864877992133,0.7064174682617188,0.33567026367187497
8192,45,0.003,0.0,32.0,96.0,0.2626722718606344,0.5891002482096354,0.3005252624511719
8192,45,0.003,1e-06,32.0,96.0,0.2626722718606344,0.5891002482096354,0.3005252624511719
8192,45,0.003,3e-06,32.0,96.0,0.2626722718606344,0.5891002482096354,0.3005252624511719
8192,45,0.003,1e-05,32.0,96.0,0.26267285890863834,0.5891012491861979,0.3005256184895833
8192,45,0.003,3e-05,32.0,96.0,0.26267303483785076,0.5891015787760416,0.30052575480143234
8192,45,0.003,0.0001,32.0,96.0,0.26267435152911495,0.5891037516276042,0.3005264811197917
8192,45,0.003,0.0003,32.0,96.0,0.26267825345385953,0.5891106038411458,0.3005290466308594
8192,45,0.003,0.001,32.0,96.0,0.26267888865091105,0.5891229085286458,0.3005406534830729
8192,45,0.003,0.003,32.0,96.0,0.262732565579589,0.5891951619466146,0.30055393676757813
8192,45,0.003,0.01,32.0,96.0,0.262863595805175,0.5894402872721355,0.30065511067708334
8192,45,0.003,0.03,32.0,96.0,0.26322543034247337,0.5901244099934896,0.3009417175292969
8192,64,0.003,0.0,32.0,96.0,0.20213801693113936,0.5016095540364583,0.27953824462890625
8192,64,0.003,1e-06,32.0,96.0,0.20213801693113936,0.5016095540364583,0.27953824462890625
8192,64,0.003,3e-06,32.0,96.0,0.20213801693113936,0.5016095540364583,0.27953824462890625
8192,64,0.003,1e-05,32.0,96.0,0.20213846416171644,0.5016102355957032,0.27953843485514324
8192,64,0.003,3e-05,32.0,96.0,0.20213578448202707,0.5016106730143229,0.27954181620279944
8192,64,0.003,0.0001,32.0,96.0,0.20213668820261332,0.501612217203776,0.2795423675537109
8192,64,0.003,0.0003,32.0,96.0,0.20214212441527968,0.5016192260742187,0.27954340413411455
8192,64,0.003,0.001,32.0,96.0,0.20214993289448507,0.5016296162923176,0.2795452158610026
8192,64,0.003,0.003,32.0,96.0,0.20215269868689434,0.5016759785970052,0.27958853963216146
8192,64,0.003,0.01,32.0,96.0,0.20227271204000466,0.5018491007486979,0.27962981363932293
8192,64,0.003,0.03,32.0,96.0,0.20252159168938705,0.5023526000976563,0.27985989074707035
8192,91,0.003,0.0,32.0,96.0,0.16996531312710716,0.4525568990071615,0.2658309173583984
8192,91,0.003,1e-06,32.0,96.0,0.16996531312710716,0.4525568990071615,0.2658309173583984
8192,91,0.003,3e-06,32.0,96.0,0.16996531312710716,0.4525568990071615,0.2658309173583984
8192,91,0.003,1e-05,32.0,96.0,0.16996553072376466,0.4525573282877604,0.2658311075846354
8192,91,0.003,3e-05,32.0,96.0,0.1699656696152482,0.45255749918619786,0.26583112589518226
8192,91,0.003,0.0001,32.0,96.0,0.16996564368883796,0.45255852864583335,0.26583218383789065
8192,91,0.003,0.0003,32.0,96.0,0.16996810206809687,0.4525625549316406,0.26583350931803384
8192,91,0.003,0.001,32.0,96.0,0.16997855967086536,0.4525724426269531,0.2658319081624349
8192,91,0.003,0.003,32.0,96.0,0.16998651537504342,0.45260399780273436,0.2658547231038411
8192,91,0.003,0.01,32.0,96.0,0.17013013194686907,0.45274139404296876,0.2658343404134115
8192,91,0.003,0.03,32.0,96.0,0.17026015382028437,0.4530616027832031,0.2660117055257161
8192,128,0.003,0.0,32.0,96.0,0.1477016731404559,0.4109897908528646,0.24872291768391927
8192,128,0.003,1e-06,32.0,96.0,0.1477016731404559,0.4109897908528646,0.24872291768391927
8192,128,0.003,3e-06,32.0,96.0,0.1477016731404559,0.4109897908528646,0.24872291768391927
8192,128,0.003,1e-05,32.0,96.0,0.14769875734524449,0.41099006754557293,0.24872639770507812
8192,128,0.003,3e-05,32.0,96.0,0.14769886660654485,0.4109901652018229,0.24872637532552086
8192,128,0.003,0.0001,32.0,96.0,0.14769969347384365,0.41099075520833334,0.2487260569254557
8192,128,0.003,0.0003,32.0,96.0,0.14770949087909363,0.41099334716796876,0.24871788533528646
8192,128,0.003,0.001,32.0,96.0,0.14770440837673865,0.410999228922526,0.24872935078938804
8192,128,0.003,0.003,32.0,96.0,0.1477059435906036,0.4110185424804687,0.248746977742513
8192,128,0.003,0.01,32.0,96.0,0.14777410967884605,0.4110819498697917,0.2487354970296224
8192,128,0.003,0.03,32.0,96.0,0.14793980907061374,0.41128035278320313,0.248751860555013
8192,181,0.003,0.0,32.0,96.0,0.12021018919485957,0.3747510009765625,0.24268660990397137
8192,181,0.003,1e-06,32.0,96.0,0.12021018919485957,0.3747510009765625,0.24268660990397137
8192,181,0.003,3e-06,32.0,96.0,0.12021018919485957,0.3747510009765625,0.24268660990397137
8192,181,0.003,1e-05,32.0,96.0,0.12021073642730487,0.37475111694335944,0.24268612467447914
8192,181,0.003,3e-05,32.0,96.0,0.12021081513247878,0.37475116373697914,0.2426860850016276
8192,181,0.003,0.0001,32.0,96.0,0.12021393093142656,0.3747514078776042,0.2426829060872396
8192,181,0.003,0.0003,32.0,96.0,0.1202164541267111,0.37475222167968747,0.24268094787597658
8192,181,0.003,0.001,32.0,96.0,0.1202271645119797,0.3747552673339844,0.24267222696940105
8192,181,0.003,0.003,32.0,96.0,0.12024207775354062,0.37476009318033854,0.2426606689453125
8192,181,0.003,0.01,32.0,96.0,0.12026109662735544,0.37478938802083334,0.2426690694173177
8192,181,0.003,0.03,32.0,96.0,0.1204303997901498,0.37486807047526044,0.24256175333658855
8192,256,0.003,0.0,32.0,96.0,0.1022879775337293,0.35161077880859376,0.23923594970703124
8192,256,0.003,1e-06,32.0,96.0,0.1022879775337293,0.35161077880859376,0.23923594970703124
8192,256,0.003,3e-06,32.0,96.0,0.1022879775337293,0.35161077880859376,0.23923594970703124
8192,256,0.003,1e-05,32.0,96.0,0.10228814790728244,0.3516107869466146,0.23923577067057292
8192,256,0.003,3e-05,32.0,96.0,0.1022875321550387,0.3516107971191406,0.2392364573160807
8192,256,0.003,0.0001,32.0,96.0,0.10228654880333511,0.3516108154296875,0.2392375559488932
8192,256,0.003,0.0003,32.0,96.0,0.1022902877620724,0.35160927327473956,0.2392319061279297
8192,256,0.003,0.001,32.0,96.0,0.1022999175715989,0.35161017659505206,0.23922223002115883
8192,256,0.003,0.003,32.0,96.0,0.10229498784987591,0.3516139343261719,0.23923140360514325
8192,256,0.003,0.01,32.0,96.0,0.10236258355709252,0.3516176066080729,0.2391608144124349
8192,256,0.003,0.03,32.0,96.0,0.10257924316011978,0.35163649495442706,0.23894167785644535
11585,32,0.003,0.0,40.0,136.0,0.2356971785917355,0.5770995035807291,0.28865908711751304
11585,32,0.003,1e-06,40.0,136.0,0.2356971785917355,0.5770995035807291,0.28865908711751304
11585,32,0.003,3e-06,40.0,136.0,0.2356971785917355,0.5770995035807291,0.28865908711751304
11585,32,0.003,1e-05,40.0,136.0,0.23569768564889035,0.5771006469726562,0.28865960998535156
11585,32,0.003,3e-05,40.0,136.0,0.23569788597802865,0.5771010294596355,0.28865974731445315
11585,32,0.003,0.0001,40.0,136.0,0.23569912535871376,0.5771035563151042,0.28866075744628905
11585,32,0.003,0.0003,40.0,136.0,0.2357071867362347,0.577112060546875,0.2886593963623047
11585,32,0.003,0.001,40.0,136.0,0.2356997537770892,0.5771418416341145,0.2886982737223307
11585,32,0.003,0.003,40.0,136.0,0.23566942427805762,0.5772029174804687,0.28879646606445314
11585,32,0.003,0.01,40.0,136.0,0.23582372093903925,0.57748251953125,0.28888724365234375
11585,32,0.003,0.03,40.0,136.0,0.23617699513999904,0.5782963785807292,0.2892687744140625
11585,45,0.003,0.0,40.0,136.0,0.18788663643660755,0.48654566446940106,0.25661461486816406
11585,45,0.003,1e-06,40.0,136.0,0.18788663643660755,0.48654566446940106,0.25661461486816406
11585,45,0.003,3e-06,40.0,136.0,0.18788663643660755,0.48654566446940106,0.25661461486816406
11585,45,0.003,1e-05,40.0,136.0,0.18788702379502414,0.48654648030598957,0.2566149566650391
11585,45,0.003,3e-05,40.0,136.0,0.1878871642747933,0.4865467793782552,0.2566150838216146
11585,45,0.003,0.0001,40.0,136.0,0.1878822749138345,0.48655062866210935,0.25662491658528647
11585,45,0.003,0.0003,40.0,136.0,0.18787983937700872,0.48655640665690103,0.25663367513020835
11585,45,0.003,0.001,40.0,136.0,0.1878836481243588,0.48656759033203123,0.2566401977539063
11585,45,0.003,0.003,40.0,136.0,0.18791940064122367,0.4866223999023438,0.25665125427246094
